Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Image Src
iphone-16-pro-max-256gb,iPhone 16 Pro Max - 256GB (Novo),"<strong>O mais recente e poderoso iPhone.</strong><br>Acabamento em titânio, processador A19 Bionic e câmara de 48MP.",Apple,Smartphone,"Premium, Novo, Apple",TRUE,Cor,Titânio Natural,IP16PM-256,221,shopify,10,deny,manual,1499.00,https://images.unsplash.com/photo-1696446702183-f8a552f01f66?q=80&w=2070&auto=format&fit=crop
samsung-galaxy-s24-ultra-512gb,Samsung Galaxy S24 Ultra - 512GB (Novo),"<strong>O topo de gama da Samsung com AI.</strong><br>Ecrã Dynamic AMOLED 2X, S-Pen integrada e Galaxy AI.",Samsung,Smartphone,"Premium, Novo, Android",TRUE,Cor,Preto Fantasma,S24U-512,232,shopify,10,deny,manual,1349.00,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?q=80&w=2070&auto=format&fit=crop
iphone-15-recondicionado-grade-a,iPhone 15 Recondicionado (Grade A+),"<strong>Estado impecável com garantia TechSOS.</strong><br>Bateria a 100%, sem riscos visíveis. Inclui cabo e carregador.",Apple,Smartphone,"Recondicionado, Apple, Promo",TRUE,Cor,Azul,IP15-RECON,171,shopify,50,deny,manual,479.00,https://images.unsplash.com/photo-1592750475338-74b7b2191392?q=80&w=2070&auto=format&fit=crop
playstation-5-slim-1tb,PlayStation 5 Slim 1TB,"<strong>Consola de nova geração com design compacto.</strong><br>Joga como nunca antes com gráficos 4K e carregamento ultra-rápido.",Sony,Consola,"Gaming, Sony, Novo",TRUE,Edição,Standard,PS5-SLIM,3200,shopify,20,deny,manual,499.00,https://images.unsplash.com/photo-1606144042614-754621c2bad7?q=80&w=2070&auto=format&fit=crop
nintendo-switch-oled,Nintendo Switch OLED,"<strong>Ecrã OLED vibrante de 7 polegadas.</strong><br>Versatilidade para jogar em qualquer lugar.",Nintendo,Consola,"Gaming, Nintendo, Novo",TRUE,Cor,Branco,SWITCH-OLED,420,shopify,15,deny,manual,349.00,https://images.unsplash.com/photo-1578303512597-81e6cc155b3e?q=80&w=2070&auto=format&fit=crop
iphone-13-recondicionado,iPhone 13 128GB Recondicionado,"<strong>O equilíbrio perfeito.</strong><br>Performance incrível e bateria para todo o dia a um preço acessível.",Apple,Smartphone,"Recondicionado, Apple, Budget",TRUE,Cor,Meia-noite,IP13-RECON,174,shopify,30,deny,manual,349.00,https://images.unsplash.com/photo-1695048133142-1a20484d2569?q=80&w=2070&auto=format&fit=crop
macbook-air-m2,MacBook Air M2 13'',"<strong>Superfino. Super rápido.</strong><br>Com o chip M2, este portátil é uma besta de produtividade.",Apple,Portátil,"Apple, Computador, Novo",TRUE,Cor,Meia-noite,MAC-M2,1240,shopify,5,deny,manual,1199.00,https://images.unsplash.com/photo-1611186871348-b1ce696e52c9?q=80&w=2070&auto=format&fit=crop
airpods-pro-2,AirPods Pro (2.ª geração),"<strong>Áudio reengenierado.</strong><br>Cancelamento de ruído ativo até 2x melhor.",Apple,Acessório,"Áudio, Apple, Novo",TRUE,Cor,Branco,AIRPODS-PRO2,50,shopify,100,deny,manual,279.00,https://images.unsplash.com/photo-1600294037681-c80b4cb5b434?q=80&w=2070&auto=format&fit=crop
iphone-13-pro-max-gaming,iPhone 13 Pro Max (Gaming Special),"<strong>A Besta do Gaming Mobile.</strong><br>Ecrã ProMotion 120Hz para fluidez máxima e bateria lendária.",Apple,Smartphone,"Gaming, Recondicionado, Apple",TRUE,Cor,Azul Sierra,IP13PM-GAME,238,shopify,15,deny,manual,699.00,https://images.unsplash.com/photo-1632661674596-df8be070a5c5?q=80&w=2070&auto=format&fit=crop
iphone-14-plus-gaming,iPhone 14 Plus (Edição Bateria),"<strong>Joga o dia todo. Sem parar.</strong><br>O maior ecrã e a melhor bateria num iPhone não-Pro. Perfeito para RPGs.",Apple,Smartphone,"Gaming, Recondicionado, Apple",TRUE,Cor,Roxo,IP14PLUS-GAME,203,shopify,20,deny,manual,649.00,https://images.unsplash.com/photo-1678652197831-2d180705cd2c?q=80&w=2070&auto=format&fit=crop
